ID,Country,UNICEF_Programme_Region_Latest,UNICEF_Programme_Region_Latest_EX_CHN,UNICEF_Programme_Region_2022,UNICEF_Programme_Region_2022_EX_CHN,UNICEF_Programme_Region_2021,UNICEF_Programme_Region_2021_EX_CHN,UNICEF_Programme_Region_Pre_2017,UNICEF_Programme_Pacific,UNICEF_Programme_Pacific_EX_PNG,UNICEF_Reporting_Region,UNICEF_Reporting_Region_EX_CHN,UNICEF_Reporting_Sub_Region,UNICEF_Reporting_Pacific,UNICEF_Reporting_Pacific_EX_PNG,UNICEF Status,SOWC Country,SOWC_Reporting_Region,SOWC_Reporting_Sub_Region,Countdown Country,Sub-Saharan Africa,Asia and Africa,LDC_2014,LDC_2017,LDC_2018,LDC_2020,LDC_Latest,OIC,UNECA,UNECA_ECCAS,AU,UNECA_ECOWAS,ASEAN,UN Status,UN Region,UN Region_EX_JPN,UN Sub Region,UN Sub Region_EX_JPN,MDG Region,SDG Region,SDG Region_EXC_JPN,SDG Region Condensed,SDG Reporting Country,LLDS-SIDS_2018,LLDS-SIDS_Latest,World Bank Regions,WB_1990,WB_1990_3_Group,WB_1990_2_Group,WB_1991,WB_1991_3_Group,WB_1991_2_Group,WB_1992,WB_1992_3_Group,WB_1992_2_Group,WB_1993,WB_1993_3_Group,WB_1993_2_Group,WB_1994,WB_1994_3_Group,WB_1994_2_Group,WB_1995,WB_1995_3_Group,WB_1995_2_Group,WB_1996,WB_1996_3_Group,WB_1996_2_Group,WB_1997,WB_1997_3_Group,WB_1997_2_Group,WB_1998,WB_1998_3_Group,WB_1998_2_Group,WB_1999,WB_1999_3_Group,WB_1999_2_Group,WB_2000,WB_2000_3_Group,WB_2000_2_Group,WB_2001,WB_2001_3_Group,WB_2001_2_Group,WB_2002,WB_2002_3_Group,WB_2002_2_Group,WB_2003,WB_2003_2_Group,WB_2003_3_Group,WB_2004,WB_2004_3_Group,WB_2004_2_Group,WB_2005,WB_2005_3_Group,WB_2005_2_Group,WB_2006,WB_2006_3_Group,WB_2006_2_Group,WB_2007,WB_2007_3_Group,WB_2007_2_Group,WB_2008,WB_2008_3_Group,WB_2008_2_Group,WB_2009,WB_2009_3_Group,WB_2009_2_Group,WB_2010,WB_2010_3_Group,WB_2010_2_Group,WB_2011,WB_2011_3_Group,WB_2011_2_Group,WB_2012,WB_2012_3_Group,WB_2012_2_Group,WB_2013,WB_2013_3_Group,WB_2013_2_Group,WB_2014,WB_2014_3_Group,WB_2014_2_Group,WB_2015,WB_2015_3_Group,WB_2015_2_Group,WB_2016,WB_2016_3_Group,WB_2016_2_Group,WB_2017,WB_2017_3_Group,WB_2017_2_Group,WB_2018,WB_2018_3_Group,WB_2018_2_Group,WB_2019,WB_2019_3_Group,WB_2019_2_Group,WB_2020,WB_2020_3_Group,WB_2020_2_Group,WB_2021,WB_2021_3_Group,WB_2021_2_Group,WB_2022,WB_Latest,WB_Latest_3_Group,WB_Latest_2_Group,WHO Status,WHO Region,Low_Income_Food_Deficit_2016,Low_Income_Food_Deficit_2018,Low_Income_Food_Deficit_2021,Low_Income_Food_Deficit_2022,Low_Income_Food_Deficit_Latest,HAC_2011,HAC_2012,HAC_2013,HAC_2014,HAC_2015,HAC_2016,HAC_2017,HAC_2018,HAC_2019,HAC_2020,HAC_2021,HAC_2022,HAC_2023,HAC_Latest,Fragile_Situation_FY19,Fragile_Situation_Expanded_FY21,Fragile_Situation_FY21,Fragile_Situation_Expanded_FY22,Fragile_Situation_FY22,Fragile_Situation_Expanded_FY23,Fragile_Situation_FY23,Fragile_Situation_Latest,OECD_Fragile_2018,OECD_Fragile_2020,OECD_Fragile_2022,OECD_Fragile_Latest,OCHA_GHO_2019,OCHA_GHO_2020,OCHA_GHO_2021,OCHA_GHO_2022,OCHA_GHO_Latest,ENAP_2018,ENAP_2019,ENAP_Latest,GPEI_Priority,VAS_Priority_2018,VAS_Priority_2019,VAS_Priority_Latest,SP_Stunting_Exclusive_DD_Salt,SP_Wasting_SAM,SP_SAM_Integration,SP_Overweight,SP_ANC,SP_Adolescents_IFA,SP_MNP,SP_Immunization,SP_Child_Health,SP_MNTE,SP_Humanitarian_2020,SP_Humanitarian_2021,SP_Humanitarian_Latest,SP_High_Burden_2021,SP_High_Burden_Latest,Nutrition_Programme_2018,Nutrition_Programme_Latest,Nutrition_Programme_Latest_Programme_Region,Notes,AllCountries,Compliance Asset Id,CND_Country_Code,M49,ISO-3 Code,WB_Code,Color Tag
200,"China, Hong Kong Special Administrative Region",Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,EAP,EAP ex CHN,EAP,Not Classified,Not Classified,NatCom,No,Not Classified,Not Classified,No,No,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Asia,Asia,Eastern Asia,Eastern Asia,Eastern Asia,Eastern Asia and South-eastern Asia,Eastern Asia and South-eastern Asia,Eastern Asia and South-eastern Asia,Yes,Not Classified,Not Classified,East Asia & Pacific,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,Not Classified,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,Not Classified,,Yes,,HKG,344.000000000000,HKG,HKG,
201,Kosovo,ECAR,ECAR,ECAR,ECAR,ECAR,ECAR,ECARO,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Programme Country,No,Not Classified,Not Classified,No,No,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,Not Classified,Not Classified,Europe & Central Asia,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Lower Middle Income,Middle Income,Low and Middle Income,Lower Middle Income,Middle Income,Low and Middle Income,Lower Middle Income,Middle Income,Low and Middle Income,Lower Middle Income,Middle Income,Low and Middle Income,Lower Middle Income,Middle Income,Low and Middle Income,Lower Middle Income,Middle Income,Low and Middle Income,Lower Middle Income,Middle Income,Low and Middle Income,Lower Middle Income,Middle Income,Low and Middle Income,Lower Middle Income,Middle Income,Low and Middle Income,Lower Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Not Classified,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Fragile Situation,High Institutional and Social Fragility (Non-Small States),Fragile Sitatuation,High Institutional and Social Fragility (Non-Small States),Fragile Sitatuation,Institutional and Social Fragility,Fragile Sitatuation,Fragile Sitatuation,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Yes,No,No,No,No,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Yes,Yes,ECAR,,Yes,,XKX,412.000000000000,,XKX,
202,Tokelau,EAPR,EAPR ex CHN,EAPR,EAPR ex CHN,EAPR,EAPR ex CHN,EAPRO,Pacific Programme Countries,Pacific Programme Countries except PNG,EAP,EAP ex CHN,EAP,Pacific Reporting Countries,Pacific Reporting Countries except PNG,Programme Country,Yes,EAP,EAP,No,No,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Oceania,Oceania,Polynesia,Polynesia,Oceania,Oceania excluding Australia and New Zealand,Oceania excluding Australia and New Zealand,Oceania excluding Australia and New Zealand,Yes,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,No,No,No,No,No,Development,Development,Development,Not Classified,Not Classified,Yes,Yes,EAPR,,Yes,,TKL,772.000000000000,TKL,,
203,Turks and Caicos Islands,LACR,LACR,LACR,LACR,LACR,LACR,LACRO,Not Classified,Not Classified,LAC,LAC,LAC,Not Classified,Not Classified,Programme Country,Yes,LAC,LAC,No,No,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Yes,Not Classified,Not Classified,Latin America & Caribbean,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,Not Classified,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,No,No,No,No,No,Development,Development,Development,Not Classified,Not Classified,No,No,Not Classified,,Yes,,TCA,796.000000000000,TCA,TCA,
204,Montserrat,LACR,LACR,LACR,LACR,LACR,LACR,LACRO,Not Classified,Not Classified,LAC,LAC,LAC,Not Classified,Not Classified,Programme Country,Yes,LAC,LAC,No,No,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Yes,Small island developing States (SIDS),Small island developing States (SIDS),Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,No,No,No,No,No,Development,Development,Development,Not Classified,Not Classified,No,No,Not Classified,,Yes,,MSR,500.000000000000,MSR,,
206,Åland Islands,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,Not Classified,Not Classified,No,No,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Europe,Europe,Northern Europe,Northern Europe,Developed regions,Northern America and Europe,Northern America and Europe,"Australia, Europe, New Zealand and Northern America",Yes,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,Not Classified,,Yes,,ALA,248.000000000000,ALA,,
207,Western Sahara,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,Not Classified,Not Classified,No,No,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Northern,Not Classified,Not Classified,Not Classified,Africa,Africa,Northern Africa,Northern Africa,Northern Africa,Western Asia and Northern Africa,Western Asia and Northern Africa,Western Asia and Northern Africa,Yes,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,Not Classified,,Yes,,ESH,732.000000000000,ESH,,
208,American Samoa,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,Not Classified,Not Classified,No,No,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Oceania,Oceania,Polynesia,Polynesia,Oceania,Oceania excluding Australia and New Zealand,Oceania excluding Australia and New Zealand,Oceania excluding Australia and New Zealand,Yes,Small island developing States (SIDS),Small island developing States (SIDS),East Asia & Pacific,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Low and Middle Income,Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,High Income,High Income,High Income,High Income,Not Classified,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,Not Classified,,Yes,,ASM,16.0000000000000,ASM,ASM,
209,Aruba,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,Not Classified,Not Classified,No,No,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Yes,Small island developing States (SIDS),Small island developing States (SIDS),Latin America & Caribbean,High Income,High Income,High Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,Not Classified,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,Not Classified,,Yes,,ABW,533.000000000000,ABW,ABW,
210,Bermuda,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,Not Classified,Not Classified,No,No,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Northern America,Northern America,Northern America,Northern America,Developed regions,Northern America and Europe,Northern America and Europe,"Australia, Europe, New Zealand and Northern America",Yes,Not Classified,Not Classified,North America,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,Not Classified,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,Not Classified,,Yes,,BMU,60.0000000000000,BMU,BMU,
