ID,Display Name,Full Name,Level,UNPD_Location_ID,Status,Classification,Class,Core,Description,CND_REGEX,HELIX_CODE,Compliance Asset Id
52,Northern Africa (M49),Northern Africa (M49),Level 2 (Regional),15,Current,UNSubRegion,Northern Africa,Core,,UNSubRegion_Northern Africa,UNDEV_015,
54,Northern Europe (M49),Northern Europe (M49),Level 2 (Regional),154,Current,UNSubRegion,Northern Europe,Core,,UNSubRegion_Northern Europe,UNDEV_154,
55,Polynesia (M49),Polynesia (M49),Level 2 (Regional),61,Current,UNSubRegion,Polynesia,Core,,UNSubRegion_Polynesia,UNDEV_61,
56,South America (M49),South America (M49),Level 2 (Regional),5,Current,UNSubRegion,South America,Core,,UNSubRegion_South America,UNDEV_005,
57,South-Eastern Asia (M49),South-Eastern Asia (M49),Level 2 (Regional),35,Current,UNSubRegion,South-Eastern Asia,Core,,UNSubRegion_South-Eastern Asia,UNDEV_035,
58,Southern Africa (M49),Southern Africa (M49),Level 2 (Regional),18,Current,UNSubRegion,Southern Africa,Core,,UNSubRegion_Southern Africa,UNDEV_018,
59,Southern Asia (M49),Southern Asia (M49),Level 2 (Regional),34,Current,UNSubRegion,Southern Asia,Core,,UNSubRegion_Southern Asia,UNDEV_034,
60,Southern Europe (M49),Southern Europe (M49),Level 2 (Regional),39,Current,UNSubRegion,Southern Europe,Core,,UNSubRegion_Southern Europe,UNDEV_39,
61,Western Africa (M49),Western Africa (M49),Level 2 (Regional),11,Current,UNSubRegion,Western Africa,Core,,UNSubRegion_Western Africa,UNDEV_011,
62,Western Asia (M49),Western Asia (M49),Level 2 (Regional),145,Current,UNSubRegion,Western Asia,Core,,UNSubRegion_Western Asia,UNDEV_145,
63,Western Europe (M49),Western Europe (M49),Level 2 (Regional),155,Current,UNSubRegion,Western Europe,Core,,UNSubRegion_Western Europe,UNDEV_155,
64,Vitamin A Supplementation Priority Countries,Vitamin A Supplementation Priority Countries,Level 2 (Regional),,Current,VAS_Priority_Latest,VAS Priority Country,Core,Based on 2018 Classification,VAS_Priority_Latest_VAS Priority Country,,
65,High Income Economies,High Income Countries,Level 2 (Regional),1503,Current,WB_Latest,High Income,Core,Based on FY23 Income Classification,WB_Latest_High Income,WB_HI,
66,Low Income Economies,Low Income Countries,Level 2 (Regional),1500,Current,WB_Latest,Low Income,Core,Based on FY23 Income Classification,WB_Latest_Low Income,WB_LI,
67,Lower Middle Income Economies,Lower Middle Income Countries,Level 2 (Regional),1501,Current,WB_Latest,Lower Middle Income,Core,Based on FY23 Income Classification,WB_Latest_Lower Middle Income,WB_LMI,
68,Upper Middle Income Economies,Upper Middle Income Countries,Level 2 (Regional),1502,Current,WB_Latest,Upper Middle Income,Core,Based on FY23 Income Classification,WB_Latest_Upper Middle Income,WB_UMI,
69,Low and Middle Income Economies,Low and Middle Income Countries,Level 2 (Regional),,Current,WB_Latest_2_Group,Low and Middle Income,Core,Based on FY23 Income Classification,WB_Latest_2_Group_Low and Middle Income,,
70,Middle Income Economies,Middle Income Countries,Level 2 (Regional),1517,Current,WB_Latest_3_Group,Middle Income,Core,Based on FY23 Income Classification,WB_Latest_3_Group_Middle Income,WB_MI,
71,African Region (WHO),AFRO,Level 2 (Regional),1593,Current,WHORegion,AFRO,Core,,WHORegion_AFRO,WHO_AFRO,
72,Region of the Americas (WHO),AMRO,Level 2 (Regional),1596,Current,WHORegion,AMRO,Core,,WHORegion_AMRO,WHO_AMRO,
73,Eastern Mediterranean Region (WHO),EMRO,Level 2 (Regional),1595,Current,WHORegion,EMRO,Core,,WHORegion_EMRO,WHO_EMRO,
74,Europe Region (WHO),EURO,Level 2 (Regional),1594,Current,WHORegion,EURO,Core,,WHORegion_EURO,WHO_EURO,
75,South-East Asia Region (WHO),SEARO,Level 2 (Regional),1597,Current,WHORegion,SEARO,Core,,WHORegion_SEARO,WHO_SEARO,
76,Western Pacific Region (WHO),WPRO,Level 2 (Regional),1598,Current,WHORegion,WPRO,Core,,WHORegion_WPRO,WHO_WPRO,
77,World (218 Countries),World,Level 1 (Global),,Current,,,,,0,,
78,South Asia,,Level 2 (Regional),,Current,,,,,0,,
79,Sub-Saharan Africa,,Level 1 (Global),,Current,,,,,0,,
80,Sub-Saharan Africa (excluding high income),,Level 3 (Sub-regional),,Current,,,,,0,,
